lon,lat,p_iid,p_bym,p_bym_cov
79.1022,39.5548,0.5044910179640718,0.6718562874251497,0.6622754491017964
77.3062,38.9965,0.15269461077844312,0.2410179640718563,0.2281437125748503
67.5288,34.8858,0.44520958083832335,0.437125748502994,0.4296407185628742
66.0702,34.0954,0.5089820359281437,0.3317365269461078,0.30359281437125746
64.6599,33.281,0.08203592814371258,0.25449101796407186,0.2179640718562874
63.2971,32.4447,1.0,1.0,1.0
126.9958,39.0973,0.36676646706586824,0.718562874251497,0.6823353293413174
125.2532,39.7602,0.30508982035928145,0.2748502994011976,0.2619760479041916
123.459,40.3842,0.7514970059880239,0.8263473053892215,0.832934131736527
121.6148,40.9669,0.33532934131736525,0.4275449101796407,0.44011976047904194
119.7223,41.5059,0.4994011976047904,0.42664670658682635,0.4365269461077844
117.7839,41.9988,0.4308383233532934,0.568562874251497,0.5523952095808383
115.8025,42.4433,0.5796407185628742,0.36407185628742517,0.3467065868263473
113.7816,42.8373,0.6410179640718563,0.5757485029940119,0.5823353293413174
111.7251,43.1789,0.8452095808383233,0.7892215568862275,0.8020958083832336
109.6375,43.4664,0.7305389221556886,0.7098802395209581,0.7038922155688623
107.5238,43.6983,0.7,0.6988023952095809,0.6895209580838323
105.3893,43.8733,0.8511976047904192,0.792814371257485,0.7622754491017965
103.2397,43.9906,0.9532934131736527,0.9296407185628742,0.9350299401197605
101.0809,44.0493,0.3907185628742515,0.34970059880239523,0.3011976047904192
98.9191,44.0493,0.48622754491017967,0.6311377245508982,0.6038922155688623
96.7603,43.9906,0.6568862275449102,0.6865269461077844,0.6832335329341317
94.6107,43.8733,0.1410179640718563,0.3092814371257485,0.2832335329341317
92.4762,43.6983,0.27215568862275447,0.28562874251497006,0.3077844311377245
90.3625,43.4664,0.013772455089820359,0.07245508982035928,0.0625748502994012
88.2749,43.1789,0.02035928143712575,0.07664670658682635,0.07934131736526946
86.2184,42.8373,0.2631736526946108,0.3137724550898204,0.2964071856287425
84.1975,42.4433,0.6011976047904192,0.45838323353293414,0.44461077844311375
82.2161,41.9988,0.04431137724550898,0.26017964071856287,0.24131736526946107
80.2777,41.5059,0.5520958083832336,0.45149700598802395,0.4368263473053892
78.3852,40.9669,0.8877245508982036,0.8502994011976048,0.8356287425149701
76.541,40.3842,0.7694610778443114,0.704191616766467,0.7338323353293413
69.6764,37.6652,0.07395209580838323,0.22904191616766467,0.231437125748503
65.0806,35.2881,0.04580838323353294,0.12574850299401197,0.1188622754491018
