"","lat","long","elev"
"729",67.4019,97.7094,695.7
"730",67.2616,93.1572,883.2
"731",66.9837,88.6901,99.8
"732",65.3892,76.2505,62
"733",64.6337,72.5256,50
"734",63.7832,69.0362,78
"735",62.8481,65.7843,70.4
"736",61.8384,62.7652,184
"737",60.7636,59.9697,271.6
"738",59.6325,57.3859,188
"739",58.453,55,199.2
"740",57.2322,52.7974,258.5
"741",55.9766,50.7636,133.9
"742",54.6919,48.8845,49
"743",53.3833,47.1467,250.9
"744",52.0552,45.5377,250.3
"745",50.7116,44.0459,162.6
"746",49.3561,42.6609,154
"747",47.9919,41.373,140
"748",46.6218,40.1735,68.8
"749",45.2482,39.0546,28.7
"750",41.1277,36.1139,613.1
"751",39.7602,35.2532,1079
"752",38.3982,34.444,1257.2
"753",37.0429,33.6821,1817.7
"754",52.9863,156.6894,51
"755",59.6325,147.3859,38.8
"756",60.869,145,724.8
"757",62.0591,142.3974,1725.5
"758",63.1944,139.5597,1532.9
"759",64.2653,136.4692,1067.3
"760",65.2615,133.1113,1038.4
"761",66.1716,129.4759,1446.2
"762",66.9837,125.56,242
"763",67.6855,121.3706,185
"764",68.2649,116.9275,192.6
"765",68.7108,112.2648,263.4
"766",69.0139,107.4314,268.4
"767",69.1672,102.4896,308.3
"768",69.1672,97.5104,1247.7
"769",69.0139,92.5686,1104.3
"770",68.7108,87.7352,361.6
"771",68.2649,83.0725,43
"772",66.9837,74.44,58
"773",66.1716,70.5241,60
"774",65.2615,66.8887,22
"775",64.2653,63.5308,137.4
"776",63.1944,60.4403,124.7
"777",62.0591,57.6026,216.7
"778",60.869,55,140
"779",59.6325,52.6141,160.2
"780",58.3571,50.4261,176
"781",57.0492,48.4181,168.7
"782",55.7149,46.573,191.4
"783",54.3591,44.8753,192
"784",52.9863,43.3106,197.9
"785",51.6005,41.866,166
"786",50.2051,40.5297,85.4
"787",48.8031,39.2914,42.2
"788",47.3973,38.1416,88.6
"789",41.7788,34.2744,1207.7
"790",40.3842,33.459,1041.8
"791",38.9965,32.6938,1047.6
"792",37.6169,31.9745,1574.9
"793",53.867,159.0362,197.5
"794",55.2841,157.5288,503.1
"795",59.4322,152.125,426
"796",60.7636,149.9697,1070.7
"797",62.0591,147.6026,970.7
"798",63.3109,145,1640.5
"799",64.5102,142.1376,703.5
"800",65.6469,138.991,1177
"801",66.7095,135.5377,1079.5
"802",67.6855,131.7595,488
"803",68.5611,127.646,560.3
"804",69.3217,123.1986,42
"805",69.9528,118.4349,138.6
"806",70.4406,113.3925,29.3
"807",70.7731,108.1301,560.4
"808",70.9418,102.7263,256.6
"809",70.7731,91.8699,59.9
"810",70.4406,86.6075,58.6
"811",69.9528,81.5651,15
"812",69.3217,76.8014,10
"813",68.5611,72.354,39
"814",67.6855,68.2405,112.6
"815",66.7095,64.4623,1184.7
